"","UF","Ano","Nascidos"
"1","RO","1996","32233"
"2","RO","1997","30070"
"3","RO","1998","30964"
"4","RO","1999","31077"
"5","RO","2000","31307"
"6","RO","2001","28236"
"7","RO","2002","29236"
"8","RO","2003","28809"
"9","RO","2004","28927"
"10","RO","2005","28081"
"11","RO","2006","24925"
"12","RO","2007","22996"
"13","RO","2008","26791"
"14","RO","2009","26083"
"15","RO","2010","25835"
"16","RO","2011","27658"
"17","RO","2012","26513"
"18","RO","2013","27097"
"19","RO","2014","27560"
"20","RO","2015","27918"
"21","RO","2016","26602"
"22","RO","2017","27503"
"23","RO","2018","28091"
"24","RO","2019","27028"
"25","RO","2020","25798"
"28","AC","1996","14236"
"29","AC","1997","14778"
"30","AC","1998","13291"
"31","AC","1999","14939"
"32","AC","2000","15228"
"33","AC","2001","14899"
"34","AC","2002","15841"
"35","AC","2003","15986"
"36","AC","2004","16584"
"37","AC","2005","17482"
"38","AC","2006","16448"
"39","AC","2007","16183"
"40","AC","2008","17994"
"41","AC","2009","16892"
"42","AC","2010","16495"
"43","AC","2011","17817"
"44","AC","2012","16700"
"45","AC","2013","17075"
"46","AC","2014","17139"
"47","AC","2015","16980"
"48","AC","2016","15773"
"49","AC","2017","16358"
"50","AC","2018","16543"
"51","AC","2019","16280"
"52","AC","2020","15142"
"55","AM","1996","49112"
"56","AM","1997","56070"
"57","AM","1998","57180"
"58","AM","1999","62037"
"59","AM","2000","67646"
"60","AM","2001","70252"
"61","AM","2002","70671"
"62","AM","2003","70751"
"63","AM","2004","71345"
"64","AM","2005","73488"
"65","AM","2006","75584"
"66","AM","2007","73469"
"67","AM","2008","75030"
"68","AM","2009","75729"
"69","AM","2010","74188"
"70","AM","2011","76202"
"71","AM","2012","77434"
"72","AM","2013","79041"
"73","AM","2014","81145"
"74","AM","2015","80097"
"75","AM","2016","76703"
"76","AM","2017","78066"
"77","AM","2018","78087"
"78","AM","2019","77622"
"79","AM","2020","75635"
"82","RR","1996","7378"
"83","RR","1997","8101"
"84","RR","1998","8223"
"85","RR","1999","9669"
"86","RR","2000","9744"
"87","RR","2001","9600"
"88","RR","2002","8990"
"89","RR","2003","10160"
"90","RR","2004","9742"
"91","RR","2005","9694"
"92","RR","2006","9592"
"93","RR","2007","9582"
"94","RR","2008","10103"
"95","RR","2009","9673"
"96","RR","2010","9738"
"97","RR","2011","9945"
"98","RR","2012","10601"
"99","RR","2013","10814"
"100","RR","2014","11120"
"101","RR","2015","11412"
"102","RR","2016","11376"
"103","RR","2017","11737"
"104","RR","2018","13344"
"105","RR","2019","14620"
"106","RR","2020","13760"
"109","PA","1996","99173"
"110","PA","1997","109095"
"111","PA","1998","116551"
"112","PA","1999","127417"
"113","PA","2000","126340"
"114","PA","2001","134742"
"115","PA","2002","136000"
"116","PA","2003","144812"
"117","PA","2004","142894"
"118","PA","2005","145540"
"119","PA","2006","150202"
"120","PA","2007","150147"
"121","PA","2008","151262"
"122","PA","2009","143140"
"123","PA","2010","140687"
"124","PA","2011","141974"
"125","PA","2012","137837"
"126","PA","2013","139416"
"127","PA","2014","143503"
"128","PA","2015","143657"
"129","PA","2016","137681"
"130","PA","2017","138684"
"131","PA","2018","141819"
"132","PA","2019","138341"
"133","PA","2020","132938"
"136","AP","1996","14033"
"137","AP","1997","14319"
"138","AP","1998","14450"
"139","AP","1999","13592"
"140","AP","2000","14238"
"141","AP","2001","14609"
"142","AP","2002","14196"
"143","AP","2003","14764"
"144","AP","2004","13971"
"145","AP","2005","14205"
"146","AP","2006","14714"
"147","AP","2007","14425"
"148","AP","2008","15105"
"149","AP","2009","14298"
"150","AP","2010","15008"
"151","AP","2011","15114"
"152","AP","2012","14895"
"153","AP","2013","15710"
"154","AP","2014","16271"
"155","AP","2015","15750"
"156","AP","2016","15521"
"157","AP","2017","15399"
"158","AP","2018","15864"
"159","AP","2019","15356"
"160","AP","2020","14633"
"163","TO","1996","24086"
"164","TO","1997","25562"
"165","TO","1998","25673"
"166","TO","1999","26498"
"167","TO","2000","26205"
"168","TO","2001","27050"
"169","TO","2002","26274"
"170","TO","2003","26053"
"171","TO","2004","25673"
"172","TO","2005","26368"
"173","TO","2006","26028"
"174","TO","2007","25011"
"175","TO","2008","25713"
"176","TO","2009","24911"
"177","TO","2010","24471"
"178","TO","2011","25035"
"179","TO","2012","24395"
"180","TO","2013","24119"
"181","TO","2014","24944"
"182","TO","2015","25110"
"183","TO","2016","23870"
"184","TO","2017","24935"
"185","TO","2018","25480"
"186","TO","2019","24449"
"187","TO","2020","23729"
"190","MA","1996","61056"
"191","MA","1997","75392"
"192","MA","1998","79272"
"193","MA","1999","96587"
"194","MA","2000","100811"
"195","MA","2001","108527"
"196","MA","2002","117917"
"197","MA","2003","127920"
"198","MA","2004","126518"
"199","MA","2005","130266"
"200","MA","2006","127724"
"201","MA","2007","127307"
"202","MA","2008","128302"
"203","MA","2009","123635"
"204","MA","2010","119566"
"205","MA","2011","121109"
"206","MA","2012","116039"
"207","MA","2013","115000"
"208","MA","2014","117071"
"209","MA","2015","117564"
"210","MA","2016","110493"
"211","MA","2017","112985"
"212","MA","2018","117156"
"213","MA","2019","113317"
"214","MA","2020","106079"
"217","PI","1996","39142"
"218","PI","1997","32422"
"219","PI","1998","46753"
"220","PI","1999","49436"
"221","PI","2000","58615"
"222","PI","2001","58588"
"223","PI","2002","56332"
"224","PI","2003","55105"
"225","PI","2004","54747"
"226","PI","2005","56866"
"227","PI","2006","55342"
"228","PI","2007","53214"
"229","PI","2008","52664"
"230","PI","2009","50996"
"231","PI","2010","49424"
"232","PI","2011","50144"
"233","PI","2012","47962"
"234","PI","2013","46419"
"235","PI","2014","47941"
"236","PI","2015","49253"
"237","PI","2016","46986"
